route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
94,1,82,São Tiago/D João,Entre S Tiago e D João,3,http://www.horariosdofunchal.pt/carreirasPNG/8200.png,1072BA,FFFFFF
15,1,12,Jamboto (via Hospital),Centro - Jamboto (via Hospital),3,http://www.horariosdofunchal.pt/carreirasPNG/1200.png,663695,FFFFFF
16,1,13,Jamboto (via Viveiros),Centro - Jamboto (via Viveiros),3,http://www.horariosdofunchal.pt/carreirasPNG/1300.png,663695,FFFFFF
20,1,15B,Galeão (Escola),Centro - Galeão (Escola),3,http://www.horariosdofunchal.pt/carreirasPNG/15B00.png,F37032,FFFFFF
21,1,16,Pinheiro das Voltas (via CAM do Pilar),Centro - Pinheiro das Voltas (via CAM do Pilar),3,http://www.horariosdofunchal.pt/carreirasPNG/1600.png,663695,FFFFFF
50,1,40,Quinta da Rocha,Centro - Quinta da Rocha,3,http://www.horariosdofunchal.pt/carreirasPNG/4000.png,EC008C,FFFFFF
51,1,42,Alegria,Centro - Alegria,3,http://www.horariosdofunchal.pt/carreirasPNG/4200.png,F37032,FFFFFF
72,1,02,Ponta da Cruz (Linha Verde),Centro - Ponta da Cruz (Linha Verde),3,http://www.horariosdofunchal.pt/carreirasPNG/0200.png,8CC641,FFFFFF
62,1,90,CAM Trapiche/C Velho/LMB Aguiares,Entre CAM Trapiche e C Velho e LMB Aguiares,3,http://www.horariosdofunchal.pt/carreirasPNG/9000.png,906532,FFFFFF
22,1,17,Lombo Segundo,Centro - Lombo Segundo,3,http://www.horariosdofunchal.pt/carreirasPNG/1700.png,F37032,FFFFFF
24,1,19,Levada da Corujeira ,Centro - Levada da Corujeira,3,http://www.horariosdofunchal.pt/carreirasPNG/1900.png,F37032,FFFFFF
29,1,22,Babosas,Centro - Babosas,3,http://www.horariosdofunchal.pt/carreirasPNG/2200.png,F37032,FFFFFF
35,1,28,D. João,Centro - D João,3,http://www.horariosdofunchal.pt/carreirasPNG/2800.png,F37032,FFFFFF
42,1,34,Canto do Muro,Centro - Canto do Muro,3,http://www.horariosdofunchal.pt/carreirasPNG/3400.png,EC008C,FFFFFF
67,1,61,Lombada/Praça Autonomia,Lombada/Praça Autonomia - Madrugada,3,http://www.horariosdofunchal.pt/carreirasPNG/6100.png,8D8B00,FFFFFF
77,1,43,Praia Formosa/Romeiras (via STO António),Entre Praia Formosa e Romeiras (via STO António),3,http://www.horariosdofunchal.pt/carreirasPNG/4300.png,663695,FFFFFF
73,1,3,Lombada - Pizo (via São Martinho),Centro (Rua Dias Leite) - Lombada - Pizo (via São Martinho),3,http://www.horariosdofunchal.pt/carreirasPNG/300.png,663695,FFFFFF
74,1,04,Amparo (Linha Verde),Centro - Amparo (Linha Verde),3,http://www.horariosdofunchal.pt/carreirasPNG/0400.png,8CC641,FFFFFF
