route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
61,11,1,Centro,1,,16082
15,21,2,Jamboto - S.Roque (Via Hospital),0,,18261
15,21,3,Centro - D. Carlos I,1,,18262
15,21,4,Jamboto - S.Roque (Via Hospital),0,,18261
8,11,5,Travessa do Pomar,0,,8601
8,11,6,Centro - D. Carlos I,1,,8602
15,21,7,Centro - D. Carlos I,1,,18262
15,21,8,Jamboto - S.Roque (Via Hospital),0,,18261
8,11,9,Travessa do Pomar,0,,8601
8,11,10,Centro - D. Carlos I,1,,8602
15,21,11,Centro - D. Carlos I,1,,18262
14,21,12,Trapiche Término,0,,13081
14,21,13,Centro - Alfândega,1,,13082
14,21,14,Trapiche Término,0,,13081
14,21,15,Centro - Alfândega,1,,13082
14,21,16,Trapiche Término,0,,13081
59,21,17,Fundoa Término,0,,18245
14,21,18,Centro - Alfândega,1,,13082
40,21,19,Rochinha Término,0,,5805
40,21,20,Centro – Cais,1,,5806
9,21,21,STA Quitéria Via Barreiros,0,,18501
46,11,22,Centro - D. Carlos I,1,,17182
46,11,23,Centro - D. Carlos I,1,,17182
17,21,24,Álamos Término,0,,18141
42,11,25,Canto do Muro Término,0,,18101
42,11,26,Centro - Cais,1,,18102
59,11,27,Fundoa Término,0,,17063
77,11,28,Praia Formosa,1,,17202
77,11,29,Praia Formosa,1,,17202
77,11,30,Praia Formosa,1,,17202
77,11,31,Praia Formosa,1,,17202
77,11,32,Praia Formosa,1,,17202
77,11,33,Praia Formosa,1,,17202
77,11,34,Praia Formosa,1,,17202
77,11,35,Praia Formosa,1,,17202
77,11,36,Praia Formosa,1,,17202
77,11,37,Praia Formosa,1,,17202
77,11,38,Praia Formosa,1,,17202
77,11,39,Praia Formosa,1,,17202
77,11,40,Praia Formosa,1,,17202
77,21,41,Praia Formosa,1,,17202
77,21,42,Praia Formosa,1,,17202
77,21,43,Praia Formosa,1,,17202
77,21,44,Praia Formosa,1,,17202
77,21,45,Praia Formosa,1,,17202
29,21,46,Centro - D. Carlos I,1,,18202
9,21,47,STA Quitéria Via Barreiros,0,,18501
17,21,48,Álamos Término,0,,18141
45,22,49,Palheiro Ferreiro Via Ribeiro da Quinta,0,,16901
17,21,50,Centro,1,,10862
16,21,51,Centro - D. Carlos I,1,,17862
39,11,52,Centro - Cais,1,,17222
16,21,53,Jamboto-Courelas Via Viveiros,0,,17861
39,11,54,Teleférico J. Botanico Término,0,,17221
39,11,55,Teleférico J. Botanico Término,0,,17221
51,21,56,Centro-Cais,1,,18222
16,21,57,Jamboto-Courelas Via Viveiros,0,,17861
16,21,58,Centro - D. Carlos I,1,,17862
61,22,59,Centro,1,,13842
16,21,60,Jamboto-Courelas Via Viveiros,0,,17861
16,21,61,Centro - D. Carlos I,1,,17862
16,21,62,Jamboto-Courelas Via Viveiros,0,,17861
16,21,63,Centro - D. Carlos I,1,,17862
14,21,64,Trapiche Término,0,,13081
34,21,65,Caminho de Ferro Término,0,,18361
75,22,66,Álamos - V. Achada,0,,12701
75,22,67,Centro - D. Carlos I,1,,12702
75,22,68,Álamos - V. Achada,0,,12701
75,22,69,Centro - D. Carlos I,1,,12702
75,22,70,Álamos - V. Achada,0,,12701
75,22,71,Centro - D. Carlos I,1,,12702
34,21,72,Centro - Cais,1,,18362
61,22,73,Centro,1,,13842
61,22,74,Três Paus Via Courelas,0,,13841
21,21,75,Pinheiro das Voltas,0,,17285
61,22,76,Três Paus Via STA Quitéria,0,,16081
61,22,77,Centro,1,,16082
61,22,78,Três Paus Via Courelas,0,,13841
61,22,79,Centro,1,,13842
61,22,80,Três Paus Via STA Quitéria,0,,16081
61,22,81,Centro,1,,16082
61,22,82,Três Paus Via Courelas,0,,13841
61,22,83,Centro,1,,13842
61,22,84,Três Paus Via STA Quitéria,0,,16081
61,22,85,Centro,1,,16082
61,22,86,Três Paus Via Courelas,0,,13841
61,22,87,Centro,1,,13842
61,22,88,Três Paus Via STA Quitéria,0,,16081
61,22,89,Centro,1,,16082
61,22,90,Três Paus Via Courelas,0,,13841
61,22,91,Centro,1,,13842
61,22,92,Três Paus Via STA Quitéria,0,,16081
61,22,93,Centro,1,,16082
61,22,94,Três Paus Via Courelas,0,,13841
61,22,95,Centro,1,,13842
61,22,96,Três Paus Via STA Quitéria,0,,16081
9,22,97,STA Quitéria Via Barreiros,0,,18501
9,22,98,STA Quitéria Via Barreiros,0,,18501
9,22,99,STA Quitéria Via Barreiros,0,,18501
9,22,100,STA Quitéria Via Barreiros,0,,18501
9,22,101,STA Quitéria Via Barreiros,0,,18501
