RouteId,StopId,Hour,Demand Average
8,4,7,2.00
8,4,8,1.46
8,4,9,1.00
8,4,10,1.20
8,4,12,1.25
8,4,13,1.05
8,4,14,1.00
8,4,15,1.25
8,4,16,1.30
8,4,17,1.00
8,430,14,1.00
8,430,17,1.00
8,433,7,1.50
8,433,9,2.50
8,433,11,1.00
8,433,12,1.67
8,433,13,1.67
8,433,14,1.50
8,433,15,1.00
8,433,17,1.00
8,433,20,3.00
8,433,21,1.00
8,439,7,1.00
8,439,15,1.00
8,443,8,1.11
8,443,9,1.00
8,443,10,2.00
8,443,12,1.50
8,443,13,1.17
8,443,14,1.00
8,443,15,1.00
8,443,17,1.00
8,443,18,2.00
8,443,22,1.00
8,444,9,1.00
8,444,12,1.00
8,444,13,1.40
8,444,14,1.00
8,444,15,1.00
8,444,17,1.00
8,444,18,1.00
8,444,20,1.00
8,553,6,1.00
8,553,7,6.13
8,553,8,2.40
8,553,9,1.75
8,553,10,2.22
8,553,12,1.54
8,553,13,1.53
8,553,14,1.50
8,553,15,1.62
8,553,16,1.40
8,553,17,1.67
8,553,18,1.00
8,553,19,1.00
8,554,6,1.00
8,554,7,1.00
8,554,8,1.14
8,554,9,1.27
8,554,10,1.33
8,554,12,1.13
8,554,13,2.00
8,554,14,1.17
8,554,15,1.60
8,554,16,1.57
8,554,17,1.00
8,554,18,1.00
8,554,20,1.00
8,554,22,1.00
8,555,6,1.50
8,555,7,4.48
8,555,8,2.06
8,555,9,2.35
8,555,10,1.22
8,555,12,2.27
8,555,13,2.88
8,555,14,1.44
8,555,15,1.80
8,555,16,1.87
8,555,17,1.20
8,555,18,2.00
8,555,19,1.00
8,1013,8,1.00
8,1013,9,1.00
8,1013,14,2.00
8,1013,21,1.00
8,1016,7,1.00
8,1016,12,1.11
8,1016,13,2.33
8,1016,17,1.00
8,1016,21,5.25
8,1018,7,1.00
8,1018,8,1.00
8,1018,9,1.00
8,1018,12,1.00
8,1018,13,1.67
8,1018,14,1.50
8,1018,15,1.00
8,1018,20,1.00
8,1018,21,3.33
8,1020,8,1.00
8,1020,9,1.00
8,1020,10,1.00
8,1020,11,1.00
8,1020,12,1.00
8,1020,15,1.24
8,1023,12,1.00
8,1025,8,1.13
8,1025,9,2.33
8,1025,10,1.67
8,1025,11,1.00
8,1025,12,1.25
8,1025,13,1.31
8,1025,14,1.58
8,1025,15,1.38
8,1025,17,1.64
8,1025,18,2.00
8,1025,19,1.00
8,1025,21,1.00
8,1026,8,1.00
8,1026,10,1.00
8,1026,11,1.00
8,1026,15,2.00
8,1026,21,1.00
8,1285,6,1.08
8,1285,7,1.36
8,1285,8,1.00
8,1285,9,1.20
8,1285,10,1.25
8,1285,12,1.00
8,1285,13,1.22
8,1285,14,1.25
8,1285,15,1.00
8,1285,16,1.08
8,1285,18,1.00
8,1285,19,1.00
8,1460,7,1.00
8,1460,8,1.00
8,1460,9,1.00
8,1460,11,1.00
8,1460,13,1.00
8,1460,14,1.00
8,1463,7,1.50
8,1472,6,2.00
8,1472,7,1.50
8,1472,8,1.42
8,1472,9,1.50
8,1472,10,1.86
8,1472,11,1.71
8,1472,12,1.76
8,1472,13,4.65
8,1472,14,2.43
8,1472,15,1.50
8,1472,17,1.85
8,1472,18,3.40
8,1472,19,1.60
8,1472,20,1.33
8,1472,21,3.40
8,1472,22,1.33
8,1521,6,2.50
8,1521,9,12.00
8,1521,10,1.00
8,1521,13,6.00
8,1521,14,3.00
8,1521,15,7.00
8,1522,6,2.00
8,1522,7,2.50
8,1522,9,4.00
8,1522,10,3.42
8,1522,12,14.00
8,1522,13,9.50
8,1522,14,6.00
8,1522,15,10.00
8,1522,16,1.50
8,1522,17,2.00
8,1522,18,17.75
8,1522,19,25.00
8,1522,21,18.00
8,1522,23,5.20
8,1575,6,1.00
8,1575,7,1.27
8,1575,8,1.81
8,1575,9,1.45
8,1575,10,1.00
8,1575,12,1.70
8,1575,13,2.00
8,1575,14,1.64
8,1575,15,2.25
8,1575,16,1.60
8,1575,17,1.00
8,1575,18,1.00
8,1576,6,1.00
8,1576,7,1.11
8,1576,8,1.86
8,1576,9,1.73
8,1576,10,1.25
8,1576,12,1.50
8,1576,13,2.33
8,1576,14,1.50
8,1576,15,1.25
8,1576,16,1.77
8,1576,17,2.00
8,1576,18,1.00
8,1576,19,1.00
8,1589,6,1.05
8,1589,7,9.39
8,1589,8,4.41
8,1589,9,5.36
8,1589,10,3.46
8,1589,12,3.70
8,1589,13,2.95
8,1589,14,2.96
8,1589,15,1.92
8,1589,16,2.94
8,1589,17,1.00
8,1589,18,1.75
8,1589,19,3.00
8,1590,6,1.00
8,1590,7,2.50
8,1590,8,1.00
8,1590,9,1.00
8,1590,10,1.00
8,1590,12,1.64
8,1590,13,1.43
8,1590,14,1.33
8,1590,15,2.00
8,1590,17,3.30
8,1590,18,1.00
8,1591,6,2.16
8,1591,7,3.56
8,1591,8,7.16
8,1591,9,1.27
8,1591,10,1.50
8,1591,12,1.44
8,1591,13,1.53
8,1591,14,1.45
8,1591,15,1.13
8,1591,16,1.33
8,1591,17,1.33
8,1591,18,2.33
8,1591,19,1.00
8,1593,7,1.00
8,1593,9,2.67
8,1593,14,2.00
8,1593,15,2.00
8,1596,9,1.00
8,1596,10,1.00
8,1596,12,1.50
8,1596,13,1.20
8,1596,14,1.00
8,1596,15,2.00
8,1596,16,1.00
8,1605,6,1.00
